"Title","has dataset","internal identifier","machine learning algorithms/decision tree - c4.5/machine learning feature/bag of words/classification category/feature request/precision","machine learning algorithms/decision tree - c4.5/machine learning feature/bag of words/classification category/feature request/recall","machine learning algorithms/decision tree - c4.5/machine learning feature/bag of words/classification category/feature request/f1","machine learning algorithms/decision tree - c4.5/machine learning feature/bag of words/classification category/feature request/f(beta) measure","machine learning algorithms/decision tree - c4.5/machine learning feature/bag of words/classification category/feature request/beta-t value","machine learning algorithms/decision tree - c4.5/machine learning feature/tf-idf/classification category/feature request/precision","machine learning algorithms/decision tree - c4.5/machine learning feature/tf-idf/classification category/feature request/recall","machine learning algorithms/decision tree - c4.5/machine learning feature/tf-idf/classification category/feature request/f1","machine learning algorithms/decision tree - c4.5/machine learning feature/tf-idf/classification category/feature request/f(beta) measure","machine learning algorithms/decision tree - c4.5/machine learning feature/tf-idf/classification category/feature request/beta-t value","machine learning algorithms/naive bayes/machine learning feature/bag of words/classification category/feature request/precision","machine learning algorithms/naive bayes/machine learning feature/bag of words/classification category/feature request/recall","machine learning algorithms/naive bayes/machine learning feature/bag of words/classification category/feature request/f1","machine learning algorithms/naive bayes/machine learning feature/bag of words/classification category/feature request/f(beta) measure","machine learning algorithms/naive bayes/machine learning feature/bag of words/classification category/feature request/beta-t value","machine learning algorithms/naive bayes/machine learning feature/tf-idf/classification category/feature request/precision","machine learning algorithms/naive bayes/machine learning feature/tf-idf/classification category/feature request/recall","machine learning algorithms/naive bayes/machine learning feature/tf-idf/classification category/feature request/f1","machine learning algorithms/naive bayes/machine learning feature/tf-idf/classification category/feature request/f(beta) measure","machine learning algorithms/naive bayes/machine learning feature/tf-idf/classification category/feature request/beta-t value","machine learning algorithms/support vector machines/machine learning feature/bag of words/classification category/feature request/precision","machine learning algorithms/support vector machines/machine learning feature/bag of words/classification category/feature request/recall","machine learning algorithms/support vector machines/machine learning feature/bag of words/classification category/feature request/f1","machine learning algorithms/support vector machines/machine learning feature/bag of words/classification category/feature request/f(beta) measure","machine learning algorithms/support vector machines/machine learning feature/bag of words/classification category/feature request/beta-t value","machine learning algorithms/support vector machines/machine learning feature/tf-idf/classification category/feature request/precision","machine learning algorithms/support vector machines/machine learning feature/tf-idf/classification category/feature request/recall","machine learning algorithms/support vector machines/machine learning feature/tf-idf/classification category/feature request/f1","machine learning algorithms/support vector machines/machine learning feature/tf-idf/classification category/feature request/f(beta) measure","machine learning algorithms/support vector machines/machine learning feature/tf-idf/classification category/feature request/beta-t value"
"Software Feature Request Detection in Issue Tracking Systems","https://zenodo.org/record/56907#.YKT_NudCRPY","P28","","","","","","","","","","","0.20","1.00","0.33","0.86","4.83","","","","","","0.51","0.85","0.64","0.83","4.83","","","","",""
"Mining User Requirements from Application Store Reviews Using Frame Semantics","https://mast.informatik.uni-hamburg.de/wp-content/uploads/2014/03/REJ_data.zip, https://sites.google.com/site/appsuserreviews/, seel.cse.lsu.edu/data/refsq17.zip","P20","","","","","","","","","","","0.28","0.62","0.39","0.57","3.66","","","","","","0.45","0.68","0.54","0.66","3.66","","","","",""
"Mining Twitter Feeds for Software User Requirements","seel.cse.lsu.edu/data/re17.zip","P41","","","","","","","","","","","0.77","0.58","0.66","0.61","2.10","","","","","","0.72","0.60","0.65","0.62","2.10","","","","",""
"Automatic Classification of Non-Functional Requirements from Augmented App User Reviews","Not available","P24","0.66","0.67","0.66","0.67","7.14","0.66","0.68","0.67","0.68","7.14","0.67","0.64","0.65","0.64","7.14","0.67","0.65","0.66","0.65","7.14","","","","","","","","","",""
"Bug report, feature request, or simply praise? On automatically classifying app reviews","https://mast.informatik.uni-hamburg.de/wp-content/uploads/2014/03/REJ_data.zip ","P25","","","","","","","","","","","0.71","0.79","0.75","0.79","14.72","","","","","","","","","","","","","","",""
"How can I improve my app? Classifying user reviews for software maintenance and evolution","Not available","P35","0.57","0.58","0.57","0.58","6.52","","","","","","0.67","0.58","0.62","0.58","6.52","","","","","","0.59","0.61","0.60","0.61","6.52","","","","",""
"App Review Analysis Via Active Learning: Reducing Supervision Effort without Compromising Classification Accuracy","https://mast.informatik.uni-hamburg.de/wp-content/uploads/2014/03/REJ_data.zip","P8","","","","","","","","","","","0.72","0.90","0.80","0.90","14.72","","","","","","","","","","","","","","",""
"App store mining is not enough for app improvement","Not available","P31","","","","","","","","","","","0.89","0.81","0.85","0.81","5.36","","","","","","0.84","0.89","0.86","0.89","5.36","","","","",""
"Facilitating developer-user interactions with mobile app review digests","Not available","P34","","","","","","","","","","","","","","","","","","","","","0.65","0.49","0.56","0.49","4.94","","","","",""
"Release planning of mobile apps based on user reviews","https://sites.google.com/site/appsimilarity/","P39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Same App, Different App Stores: A Comparative Study","https://github.com/saltlab/Minning-App-Stores","P1","","","","","","","","","","","","","0.77","","","","","","","","","","0.84","","","","","","",""
"User Feedback from Tweets vs App Store Reviews: An Exploratory Study of Frequency, Timing and Content","Not available","P7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
""What Parts of Your Apps are Loved by Users?" (T)","Not available","P12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A Needle in a Haystack: What Do Twitter Users Say about Software?","Not available","P13","","","","","","0.78","0.74","0.76","0.74","10.00","","","","","","","","","","","","","","","","0.74","0.76","0.75","0.76","10.00"
"Ensemble Methods for App Review Classification: An Approach for Software Evolution (N)","Not available","P14","","","","","","","","","","","","","","","","0.73","0.18","0.29","0.18","11.26","","","","","","0.69","0.33","0.45","0.33","11.26"
"A Little Bird Told Me: Mining Tweets for Requirements and Software Evolution","Not available","P15","","","","","","","","","","","","","","","","0.74","0.78","0.76","0.77","2.38","","","","","","","","","",""
"Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews","https://github.com/SAILResearch/replication-prioritize_devices_test_app","P26","","","","","","0.53","0.51","0.52","0.51","3.24","","","","","","0.32","0.38","0.35","0.37","3.24","","","","","","0.66","0.65","0.65","0.65","3.24"
"Listening to the Crowd for the Release Planning of Mobile Apps","https://sites.google.com/site/appsuserreviews/","P38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Can app changelogs improve requirements classification from app reviews?: an exploratory study","Not available","P40","","","","","","0.57","0.58","0.58","0.58","2.79","","","","","","0.61","0.59","0.60","0.59","2.79","","","","","","","","","",""
